Country;RRinMin;RRincMax;Totpop;RincDiff;RIncDiffP;PopDiff;PopDiffP
Albania;736;6048;3;5312;1.544635068;0;1
Argentina;861;21743;40;20882;1.253421369;4;1.111111111
Armenia;569;3867;3;3298;1.305104867;0;1
Austria;5535;33355;8;27820;0.95309877;0;1
Bangladesh;247;1676;145;1429;1.136833731;20;1.16
Belgium;4546;30173;11;25627;0.701187479;1;1.1
Bolivia;116;11131;10;11015;0.955831309;2;1.25
Brazil;346;18498;192;18152;1.051132086;23;1.136094675
Bulgaria;1077;7280;8;6203;1.823339212;0;1
Burkina Faso;193;2167;16;1974;1.053924186;4;1.333333333
Burundi;144;974;8;830;0.91611479;2;1.333333333
Cambodia;313;2939;14;2626;1.37486911;2;1.166666667
Cameroon;403;4207;19;3804;1.294758339;4;1.266666667
Canada;4005;56054;33;52049;1.526318876;3;1.1
Chile;906;25336;17;24430;1.147702715;2;1.133333333
China;1001;9776;1325;8775;2.166131819;83;1.066827697
Colombia;196;13660;45;13464;1.184064726;7;1.184210526
Costa Rica;645;17163;5;16518;1.446536474;1;1.25
Cote d'Ivoire;235;3339;19;3104;0.889398281;3;1.1875
Croatia;3064;25285;4;22221;2.050096872;-1;0.8
Cyprus;3325;19728;1;16403;1.249181327;0;1
Czech Republic;2663;14478;10;11815;1.081959707;0;1
Denmark;5633;31321;5;25688;1.11136108;0;1
Dominican Republic;507;11587;10;11080;0.915475502;2;1.25
Ecuador;348;11996;14;11648;1.545647558;2;1.166666667
Egypt, Arab Rep.;542;3637;78;3095;0.939872457;13;1.2
El Salvador;407;9208;6;8801;0.929748574;0;1
Estonia;1939;14287;1;12348;1.444886497;0;1
Finland;4874;29462;5;24588;1.207899391;0;1
France;5138;43111;64;37973;1.438807214;4;1.066666667
Georgia;271;4248;4;3977;0.937971698;0;1
Germany;5086;38001;82;32915;1.182589013;0;1
Greece;2645;24353;11;21708;1.104451793;0;1
Guatemala;254;10778;14;10524;1.138591366;3;1.272727273
Honduras;63;11948;7;11885;1.585935415;1;1.166666667
Hungary;1761;10733;10;8972;1.281348186;0;1
India;533;4492;1191;3959;1.280401035;173;1.169941061
Indonesia;614;4720;235;4106;1.568972105;27;1.129807692
Ireland;4741;33293;4;28552;0.885855233;0;1
Israel;1441;26789;7;25348;1.25821503;1;1.166666667
Italy;3361;28984;60;25623;0.870435167;3;1.052631579
Japan;3192;29508;128;26316;1.073859463;2;1.015873016
Jordan;848;6560;6;5712;1.182119205;1;1.2
Kenya;112;791;38;679;0.185417804;8;1.266666667
Korea, Rep.;2433;32295;49;29862;1.630733945;3;1.065217391
Kyrgyz Republic;409;4573;5;4164;2.145285935;0;1
Lao PDR;252;2290;6;2038;1.354152824;1;1.2
Latvia;1364;15669;2;14305;2.268834259;0;1
Macedonia, FYR;788;12181;2;11393;2.617275442;0;1
Madagascar;74;1166;20;1092;1.159235669;6;1.428571429
Malawi;136;2250;14;2114;1.488732394;3;1.272727273
Malaysia;854;16622;28;15768;1.091588785;6;1.272727273
Mauritania;246;3201;3;2955;1.031773743;1;1.5
Mexico;448;14636;111;14188;1.242708242;14;1.144329897
Moldova;660;6073;4;5413;2.127751572;0;1
Morocco;514;6425;31;5911;1.341275244;3;1.107142857
Mozambique;108;2051;22;1943;1.600494234;5;1.294117647
Nepal;296;2166;29;1870;1.047619048;6;1.260869565
Netherlands;5688;37224;16;31536;1.195904437;0;1
Nicaragua;185;6178;6;5993;0.913985054;1;1.2
Nigeria;84;1830;151;1746;1.049909802;33;1.279661017
Norway;7259;41164;5;33905;1.115736475;1;1.25
Pakistan;344;2056;167;1712;0.940659341;29;1.210144928
Panama;406;13056;3;12650;0.847571189;0;1
Paraguay;402;13110;6;12708;0.968523741;1;1.2
Peru;403;11075;28;10672;0.986777624;3;1.12
Philippines;322;4182;90;3860;0.893725399;16;1.216216216
Poland;1340;11799;38;10459;1.164958788;-1;0.974358974
Portugal;2182;23095;11;20913;1.206820936;1;1.1
Romania;482;6915;22;6433;1.328308899;-1;0.956521739
Russian Federation;1448;18947;142;17499;3.046483287;-5;0.965986395
Rwanda;128;2601;10;2473;1.284008307;3;1.428571429
Singapore;2711;46890;5;44179;1.344502267;1;1.25
Slovak Republic;1729;9914;5;8185;1.08799681;0;1
Slovenia;4468;20390;2;15922;0.543079337;0;1
South Africa;361;15928;49;15567;1.940538519;7;1.166666667
Spain;2966;24857;46;21891;0.829204545;6;1.15
Sri Lanka;436;4705;20;4269;2.033825631;1;1.052631579
Swaziland;159;3845;1;3686;1.670897552;0;1
Sweden;5262;28988;9;23726;1.032283328;0;1
Switzerland;;53300;8;53300;1.29791068;1;1.142857143
Taiwan;4432;27839;23;23407;0.990269493;1;1.045454545
Tajikistan;422;2904;7;2482;2.416747809;1;1.166666667
Thailand;705;8034;68;7329;1.259711241;6;1.096774194
Turkey;773;10759;71;9986;1.008381299;9;1.14516129
Uganda;193;2959;31;2766;1.586009174;8;1.347826087
Ukraine;1582;8768;46;7186;2.052556412;-4;0.92
United Kingdom;5425;52257;61;46832;1.558158105;3;1.051724138
United States;3283;72925;304;69642;1.31417357;28;1.101449275
Uruguay;937;18168;3;17231;0.937282419;0;1
Venezuela, RB;316;8725;28;8409;1.077662438;5;1.217391304
Vietnam;326;2888;85;2562;1.663636364;10;1.133333333
Yemen, Rep.;233;2404;23;2171;0.875050383;6;1.352941176
Zambia;74;2195;12;2121;0.779779412;2;1.2